StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
NCK,834300032.0,986128000.0,3.178528,11.063373,3.757,14.657,0.1603,0.23923,0.14607,0.52399,262480000.0,3.24,-0.016,164663000.0,67282000.0,42076000.0,0.519,63037000.0,0.778,214864992.0,284.914,1.059,0.931,92178000.0,80812248.0,0.45070422,11.61,2.65,10.210313,8.825108,391584.0,222838.0,81000000.0,67004010.0
ABV,16303407.0,16314397.0,1.9527377,3.909091,1.954,27.465,0.020480001,0.04743,0.04239,0.056739997,8349000.0,0.024,0.131,3713000.0,594000.0,171000.0,0.0,516000.0,0.001,527000.0,13.198,3.051,0.011,222000.0,231125.0,0.4333334,0.13,0.015,0.035580646,0.033695653,185500.0,899312.0,379148992.0,151936285.0
ADH,613749504.0,728097792.0,1.578034,4.3682313,1.872,10.424,0.09071,0.16103001,0.13219,0.27256,388932992.0,2.32,0.159,222119000.0,69846000.0,35281000.0,0.207,25179000.0,0.149,139527008.0,99.257,0.823,0.831,97307000.0,77303248.0,0.66513765,4.3,0.44,3.610606,3.344,1196546.0,692217.0,169076992.0,137471497.0
AFL,31376220.0,29886576.0,4.4574428,3.8636363,4.246,45.443,0.06,0.05528,0.02262,0.05612,7039063.0,0.117,7.719,6509664.0,657666.0,422381.0,0.007,1554743.0,0.026,791845.0,9.996,1.252,0.132,1647204.0,1111450.0,2.3999999,0.59,0.09,0.48048386,0.3622826,128278.0,47413.0,61522000.0,26606147.0
AGI,269435200.0,303327136.0,1.8034967,0.7597341,2.03,-37.059,-0.29072002,-0.25811002,-0.0508,-0.11611,149396000.0,0.444,-0.638,90385000.0,-8185000.0,-43433000.0,-0.13,26543000.0,0.079,60435000.0,17.045,2.306,1.053,16721000.0,27822250.0,0.25984251,0.88,0.275,0.605,0.40913042,402263.0,790947.0,336793984.0,110070992.0
AHL,9309930.0,8682512.0,6.8334675,7.0,6.373,-4.636,-1.43732,-1.4117799,-0.50565,-1.30031,1362402.0,0.001,-0.393,878071.0,-1872990.0,-1958206.0,-0.002,837566.0,0.001,210158.0,12.674,2.245,0.001,-1272093.0,-1219429.0,-0.19999993,0.01,0.002,0.006985714,0.006200704,1306497.0,260797.0,1329990016.0,634271532.0
AHX,74256328.0,121323240.0,0.6275094,1.0621762,1.025,10.961,0.03525,0.065630004,0.03955,0.06611,118335000.0,1.048,0.116,23819000.0,11069000.0,4171000.0,0.036,2509000.0,0.022,51101000.0,74.586,1.274,0.579,7507000.0,8109750.0,0.30851066,0.755,0.34,0.62387097,0.6112681,66821.0,25559.0,120742000.0,55858189.0
AIR,12742998.0,15859969.0,2.946358,7.204301,3.667,-6.107,-1.6874001,-0.60508996,-0.20555,-1.34575,4325000.0,0.227,-0.103,-540000.0,-2597000.0,-7298000.0,-0.384,74000.0,0.004,3191000.0,179.876,5.552,0.093,-2357000.0,-1649500.0,0.0806452,0.95,0.6,0.6819355,0.7472464,335.0,1500.0,19019400.0,1508615.0
ALG,287823616.0,857137600.0,0.72260296,1.1472275,2.152,78.752,-0.34300998,-0.12511,-0.034930002,-0.4048,398315008.0,0.83,-0.464,294712000.0,10884000.0,-136628992.0,-0.285,161616992.0,0.337,691740992.0,238.574,1.728,0.523,52718000.0,-62617228.0,-0.5683453,1.475,0.105,0.66636366,0.5935357,2426689.0,1025412.0,479705984.0,388873682.0
AMA,478605472.0,1118004736.0,0.5383899,1.4494382,1.258,24.302,-0.07904,0.015520001,0.00935,-0.26261,888956992.0,1.256,0.597,470557000.0,46005000.0,-69109000.0,-0.1,112916000.0,0.154,741212032.0,216.084,1.06,0.445,122458000.0,86303624.0,-0.2670455,0.93,0.15,0.76375,0.69176257,3898874.0,10162156.0,742024000.0,566470769.0
AMC,22931353600.0,28833302528.0,1.8458047,4.796531,2.321,15.478,0.059899997,0.10237,0.04789,0.14622,12423499776.0,7.842,-0.014,2535500000.0,1862899968.0,743500032.0,0.469,757000000.0,0.484,7048999936.0,148.588,1.272,2.998,1363200000.0,1090637440.0,-0.09159821,16.53,9.87,14.879032,15.291232,2396855.0,1986830.0,1568480000.0,1556951933.0
APE,3422347264.0,5792470016.0,0.42929462,4.459324,0.727,18.589,-0.02073,0.032,0.05014,-0.10936,7972024832.0,32.382,1.012,1054830000.0,311611008.0,-86926000.0,-0.671,292516992.0,1.125,2610114048.0,331.141,0.881,2.987,530481984.0,228066880.0,0.503386,14.72,2.5,13.499091,11.010214,564988.0,358152.0,256932992.0,146993600.0
ARB,2842014976.0,2809004032.0,6.0866365,7.538066,6.016,30.425,0.12271,0.17081,0.11257,0.15941,466927008.0,5.851,0.025,245313000.0,92326000.0,57295000.0,0.718,41569000.0,0.521,44530000.0,11.962,3.064,4.663,91237000.0,71240376.0,0.89794815,35.84,10.4,32.036366,28.142357,218023.0,166913.0,80853904.0,70581360.0
